Country,Continental Region,Statistical Region,Population
Afghanistan,Asia,Southern Asia,38041754
Albania,Europe,Southern Europe,2880917
Algeria,Africa,Northern Africa,43053054
American Samoa,Oceania,Polynesia,55312
Andorra,Europe,Southern Europe,77142
Angola,Africa,Middle Africa,31825295
Anguilla,Americas,Caribbean,14869
Antigua and Barbuda,Americas,Caribbean,97118
Argentina,Americas,South America,44780677
Armenia,Asia,Western Asia,2957731
Aruba,Americas,Caribbean,106314
Australia,Oceania,Australia and New Zealand,25203198
Austria,Europe,Western Europe,8955102
Azerbaijan,Asia,Western Asia,10047718
Bahamas,Americas,Caribbean,389482
Bahrain,Asia,Western Asia,1641172
Bangladesh,Asia,Southern Asia,163046161
Barbados,Americas,Caribbean,287025
Belarus,Europe,Eastern Europe,9452411
Belgium,Europe,Western Europe,11539328
Belize,Americas,Central America,390353
Benin,Africa,Western Africa,11801151
Bermuda,Americas,Northern America,62506
Bhutan,Asia,Southern Asia,763092
Bolivia,Americas,South America,11513100
Bosnia and Herzegovina,Europe,Southern Europe,3301000
Botswana,Africa,Southern Africa,2303697
Brazil,Americas,South America,211049527
British Virgin Islands,Americas,Caribbean,30030
Brunei Darussalam,Asia,South-eastern Asia,433285
Bulgaria,Europe,Eastern Europe,7000119
Burkina Faso,Africa,Western Africa,20321378
Burundi,Africa,Eastern Africa,10864245
Cabo Verde,Africa,Western Africa,549935
Cambodia,Asia,South-eastern Asia,16486542
Cameroon,Africa,Middle Africa,25876380
Canada,Americas,Northern America,37411047
Caribbean Netherlands,Americas,Caribbean,25979
Cayman Islands,Americas,Caribbean,64948
Central African Republic,Africa,Middle Africa,4745185
Chad,Africa,Middle Africa,15946876
Chile,Americas,South America,18952038
China,Asia,Eastern Asia,1433783686
Colombia,Americas,South America,50339443
Comoros,Africa,Eastern Africa,850886
Cook Islands,Oceania,Polynesia,17548
Costa Rica,Americas,Central America,5047561
Côte d'Ivoire,Africa,Western Africa,25716544
Croatia,Europe,Southern Europe,4130304
Cuba,Americas,Caribbean,11333483
Curaçao,Americas,Caribbean,163424
Cyprus,Asia,Western Asia,1179551
Czechia,Europe,Eastern Europe,10689209
Denmark,Europe,Northern Europe,5771876
Djibouti,Africa,Eastern Africa,973560
Dominica,Americas,Caribbean,71808
Dominican Republic,Americas,Caribbean,10738958
Democratic Republic of the Congo,Africa,Middle Africa,86790567
Timor-Leste,Asia,South-eastern Asia,1293119
Ecuador,Americas,South America,17373662
Egypt,Africa,Northern Africa,100388073
El Salvador,Americas,Central America,6453553
Equatorial Guinea,Africa,Middle Africa,1355986
Eritrea,Africa,Eastern Africa,3497117
Estonia,Europe,Northern Europe,1325648
Eswatini,Africa,Southern Africa,1148130
Ethiopia,Africa,Eastern Africa,112078730
F.S. Micronesia,Oceania,Micronesia,113815
Falkland Islands,Americas,South America,3377
Faroe Islands,Europe,Northern Europe,48678
Fiji,Oceania,Melanesia,889953
Finland,Europe,Northern Europe,5532156
France,Europe,Western Europe,65129728
French Guiana,Americas,South America,282731
French Polynesia,Oceania,Polynesia,279287
Gabon,Africa,Middle Africa,2172579
Gambia,Africa,Western Africa,2347706
Georgia,Asia,Western Asia,3996765
Germany,Europe,Western Europe,83517045
Ghana,Africa,Western Africa,28833629
Gibraltar,Europe,Southern Europe,33701
Greece,Europe,Southern Europe,10473455
Greenland,Americas,Northern America,56672
Grenada,Americas,Caribbean,112003
Guadeloupe,Americas,Caribbean,447905
Guam,Oceania,Micronesia,167294
Guatemala,Americas,Central America,17581472
Guernsey,Europe,Northern Europe,63026
Guinea,Africa,Western Africa,12771246
Guinea-Bissau,Africa,Western Africa,1920922
Guyana,Americas,South America,782766
Haiti,Americas,Caribbean,11263770
Honduras,Americas,Central America,9746117
Hong Kong,Asia,Eastern Asia,7436154
Hungary,Europe,Eastern Europe,9684679
Iceland,Europe,Northern Europe,339031
India,Asia,Southern Asia,1366417754
Indonesia,Asia,South-eastern Asia,270625568
Iran,Asia,Southern Asia,82913906
Iraq,Asia,Western Asia,39309783
Ireland,Europe,Northern Europe,4882495
Isle of Man,Europe,Northern Europe,84584
Israel,Asia,Western Asia,8519377
Italy,Europe,Southern Europe,60550075
Jamaica,Americas,Caribbean,2948279
Japan,Asia,Eastern Asia,126860301
Jersey,Europe,Northern Europe,106800
Jordan,Asia,Western Asia,10101694
Kazakhstan,Asia,Central Asia,18551427
Kenya,Africa,Eastern Africa,52573973
Kiribati,Oceania,Micronesia,117606
Kosovo,Europe,Southern Europe,1810463
Kuwait,Asia,Western Asia,4207083
Kyrgyzstan,Asia,Central Asia,6415850
Laos,Asia,South-eastern Asia,7169455
Latvia,Europe,Northern Europe,1906743
Lebanon,Asia,Western Asia,6855713
Lesotho,Africa,Southern Africa,2125268
Liberia,Africa,Western Africa,4937374
Libya,Africa,Northern Africa,6777452
Liechtenstein,Europe,Western Europe,38019
Lithuania,Europe,Northern Europe,2759627
Luxembourg,Europe,Western Europe,615729
Macau,Asia,Eastern Asia,640445
Madagascar,Africa,Eastern Africa,26969307
Malawi,Africa,Eastern Africa,18628747
Malaysia,Asia,South-eastern Asia,31949777
Maldives,Asia,Southern Asia,530953
Mali,Africa,Western Africa,19658031
Malta,Europe,Southern Europe,440372
Marshall Islands,Oceania,Micronesia,58791
Martinique,Americas,Caribbean,375554
Mauritania,Africa,Western Africa,4525696
Mauritius,Africa,Eastern Africa,1198575
Mayotte,Africa,Eastern Africa,266150
Mexico,Americas,Central America,127575529
Monaco,Europe,Western Europe,38964
Mongolia,Asia,Eastern Asia,3225167
Montenegro,Europe,Southern Europe,627987
Montserrat,Americas,Caribbean,4989
Morocco,Africa,Northern Africa,36471769
Mozambique,Africa,Eastern Africa,30366036
Myanmar,Asia,South-eastern Asia,54045420
Namibia,Africa,Southern Africa,2494530
Nauru,Oceania,Micronesia,10756
Nepal,Asia,Southern Asia,28608710
Netherlands,Europe,Western Europe,17097130
New Caledonia,Oceania,Melanesia,282750
New Zealand,Oceania,Australia and New Zealand,4783063
Nicaragua,Americas,Central America,6545502
Niger,Africa,Western Africa,23310715
Nigeria,Africa,Western Africa,200963599
Niue,Oceania,Polynesia,1615
North Korea,Asia,Eastern Asia,25666161
North Macedonia,Europe,Southern Europe,2083459
Northern Mariana Islands,Oceania,Micronesia,56188
Norway,Europe,Northern Europe,5378857
Oman,Asia,Western Asia,4974986
Pakistan,Asia,Southern Asia,216565318
Palau,Oceania,Micronesia,18008
Palestine,Asia,Western Asia,4981420
Panama,Americas,Central America,4246439
Papua New Guinea,Oceania,Melanesia,8776109
Paraguay,Americas,South America,7044636
Peru,Americas,South America,32510453
Philippines,Asia,South-eastern Asia,108116615
Poland,Europe,Eastern Europe,37887768
Portugal,Europe,Southern Europe,10226187
Puerto Rico,Americas,Caribbean,2933408
Qatar,Asia,Western Asia,2832067
Republic of Korea,Asia,Eastern Asia,51225308
Republic of Moldova,Europe,Eastern Europe,4043263
Republic of the Congo,Africa,Middle Africa,5380508
Réunion,Africa,Eastern Africa,888927
Romania,Europe,Eastern Europe,19364557
Russian Federation,Europe,Eastern Europe,145872256
Rwanda,Africa,Eastern Africa,12626950
Saint Barthélemy,Americas,Caribbean,9793
Saint Helena and Ascension and Tristan da Cunha,Africa,Western Africa,6059
Saint Kitts and Nevis,Americas,Caribbean,52823
Saint Lucia,Americas,Caribbean,182790
Saint Martin,Americas,Caribbean,35107
Saint Pierre and Miquelon,Americas,Northern America,5822
Saint Vincent and the Grenadines,Americas,Caribbean,110589
Samoa,Oceania,Polynesia,197097
San Marino,Europe,Southern Europe,33860
São Tomé and Príncipe,Africa,Middle Africa,215056
Saudi Arabia,Asia,Western Asia,34268528
Senegal,Africa,Western Africa,16296364
Serbia,Europe,Southern Europe,6963764
Seychelles,Africa,Eastern Africa,97739
Sierra Leone,Africa,Western Africa,7813215
Singapore,Asia,South-eastern Asia,5804337
Sint Maarten,Americas,Caribbean,42388
Slovakia,Europe,Eastern Europe,5457013
Slovenia,Europe,Southern Europe,2078654
Solomon Islands,Oceania,Melanesia,669823
Somalia,Africa,Eastern Africa,15442905
South Africa,Africa,Southern Africa,58558270
South Sudan,Africa,Eastern Africa,11062113
Spain,Europe,Southern Europe,46736776
Sri Lanka,Asia,Southern Asia,21323733
Sudan,Africa,Northern Africa,42813238
Suriname,Americas,South America,581372
Sweden,Europe,Northern Europe,10036379
Switzerland,Europe,Western Europe,8591365
Syria,Asia,Western Asia,17070135
Taiwan,Asia,Eastern Asia,23773876
Tajikistan,Asia,Central Asia,9321018
Tanzania,Africa,Eastern Africa,58005463
Thailand,Asia,South-eastern Asia,69037513
Togo,Africa,Western Africa,8082366
Tokelau,Oceania,Polynesia,1340
Tonga,Oceania,Polynesia,110940
Trinidad and Tobago,Americas,Caribbean,1394973
Tunisia,Africa,Northern Africa,11694719
Turkey,Asia,Western Asia,83429615
Turkmenistan,Asia,Central Asia,5942089
Turks and Caicos Islands,Americas,Caribbean,38191
Tuvalu,Oceania,Polynesia,11646
Uganda,Africa,Eastern Africa,44269594
Ukraine,Europe,Eastern Europe,43993638
United Arab Emirates,Asia,Western Asia,9770529
United Kingdom,Europe,Northern Europe,67530172
United States,Americas,Northern America,329064917
United States Virgin Islands,Americas,Caribbean,104578
Uruguay,Americas,South America,3461734
Uzbekistan,Asia,Central Asia,32981716
Vanuatu,Oceania,Melanesia,299882
Vatican City,Europe,Southern Europe,799
Venezuela,Americas,South America,28515829
Vietnam,Asia,South-eastern Asia,96462106
Wallis and Futuna,Oceania,Polynesia,11432
Western Sahara,Africa,Northern Africa,582463
Yemen,Asia,Western Asia,29161922
Zambia,Africa,Eastern Africa,17861030
Zimbabwe,Africa,Eastern Africa,14645468
